LR Clip Loss
0.4 0.04 77.01115417480469
0.4 0.05 77.00640869140625
0.4 0.08 77.09237670898438
0.4 0.1 77.38966369628906
0.4 0.2 77.07145690917969
0.4 0.4 77.13753509521484
0.4 0.5 77.03851318359375
0.4 0.8 77.09703063964844
0.4 1 77.11767578125
0.4 2 77.16871643066406
0.4 4 77.47473907470703
0.4 5 77.4033203125
0.4 8 77.56878662109375
0.4 10 78.07296752929688
0.4 20 79.45893096923828
0.4 40 79.23178100585938
0.4 50 79.03189086914062
0.4 80 92.63291931152344
0.5 0.0001 77.59352111816406
0.5 0.0002 77.16158294677734
0.5 0.0004 77.05770874023438
0.5 0.0005 77.12732696533203
0.5 0.0008 77.13936614990234
0.5 0.001 77.04513549804688
0.5 0.002 77.12283325195312
0.5 0.004 77.73774719238281
0.5 0.005 77.06303405761719
0.5 0.008 77.0931625366211
0.5 0.01 77.48632049560547
0.5 0.02 77.04847717285156
0.5 0.04 77.06021118164062
0.5 0.05 77.22232055664062
0.5 0.08 77.07052612304688
0.5 0.1 77.00906372070312
0.5 0.2 77.08614349365234
0.5 0.4 77.06769561767578
0.5 0.5 77.09144592285156
0.5 0.8 77.19501495361328
0.5 1 77.14522552490234
0.5 2 77.2283706665039
0.5 4 77.66665649414062
0.5 5 78.27201843261719
0.5 8 78.08274841308594
0.5 10 80.13506317138672
0.5 20 80.6115951538086
0.5 40 80.83502197265625
0.5 50 82.56438446044922
0.5 80 104.7127685546875
0.8 0.0001 77.24259948730469
0.8 0.0002 77.20960998535156
0.8 0.0004 79.96742248535156
0.8 0.0005 77.1301498413086
0.8 0.0008 77.7877426147461
0.8 0.001 77.25091552734375
0.8 0.002 77.32949829101562
0.8 0.004 77.46244812011719
0.8 0.005 77.31034851074219
0.8 0.008 77.29214477539062
0.8 0.01 77.11560821533203
0.8 0.02 77.06919860839844
0.8 0.04 78.9229965209961
0.8 0.05 77.15956115722656
0.8 0.08 77.42952728271484
0.8 0.1 77.91036224365234
0.8 0.2 77.05831146240234
0.8 0.4 80.08631896972656
0.8 0.5 77.28052520751953
0.8 0.8 77.19172668457031
0.8 1 77.41677856445312
0.8 2 77.19884490966797
0.8 4 77.17393493652344
0.8 5 78.6803970336914
0.8 8 78.4725112915039
0.8 10 79.5748291015625
0.8 20 80.37812805175781
0.8 40 86.45674896240234
0.8 50 84.60597229003906
0.8 80 97.57286834716797
1 0.0001 78.151611328125
1 0.0002 78.39820098876953
1 0.0004 77.15193939208984
1 0.0005 77.078125
1 0.0008 77.4922866821289
1 0.001 77.03014373779297
1 0.002 77.3753662109375
1 0.004 78.00447845458984
1 0.005 78.56929016113281
1 0.008 77.03255462646484
1 0.01 78.0572738647461
1 0.02 77.27851104736328
1 0.04 77.44444274902344
1 0.05 77.10528564453125
1 0.08 77.82870483398438
1 0.1 77.55089569091797
1 0.2 77.71247100830078
1 0.4 78.3633804321289
1 0.5 77.0976791381836
1 0.8 77.29550170898438
1 1 77.44910430908203
1 2 77.18828582763672
1 4 78.80689239501953
1 5 79.16963195800781
1 8 78.52388763427734
1 10 81.3753433227539
1 20 84.7289047241211
1 40 82.46428680419922
1 50 100.24100494384766
1 80 121.08489227294922
2 0.0001 78.62499237060547
2 0.0002 78.61135864257812
2 0.0004 78.23434448242188
2 0.0005 78.39033508300781
2 0.0008 77.84964752197266
2 0.001 77.976318359375
2 0.002 90.9668960571289
2 0.004 81.7812271118164
2 0.005 79.08181762695312
2 0.008 80.8497314453125
2 0.01 77.3987045288086
2 0.02 79.1695556640625
2 0.04 80.70309448242188
2 0.05 78.0490951538086
2 0.08 77.96084594726562
2 0.1 79.03040313720703
2 0.2 85.5465087890625
2 0.4 77.67510986328125
2 0.5 81.16046905517578
2 0.8 80.02631378173828
2 1 78.25501251220703
2 2 80.29263305664062
2 4 78.92823791503906
2 5 79.27938842773438
2 8 81.02716827392578
2 10 81.49869537353516
2 20 90.99465942382812
2 40 99.9638442993164
2 50 102.29851531982422
2 80 143.7726287841797
4 0.0001 81.89210510253906
4 0.0002 89.41847229003906
4 0.0004 126.86505889892578
4 0.0005 82.98356628417969
4 0.0008 81.4378890991211
4 0.001 85.15514373779297
4 0.002 81.27973175048828
4 0.004 80.23592376708984
4 0.005 95.23663330078125
4 0.008 101.05371856689453
4 0.01 82.31897735595703
4 0.02 103.4521713256836
4 0.04 95.73149871826172
4 0.05 92.30573272705078
4 0.08 87.96649932861328
4 0.1 87.97756958007812
4 0.2 86.15919494628906
4 0.4 125.08427429199219
4 0.5 82.71347045898438
4 0.8 86.4966049194336
4 1 78.13177490234375
4 2 122.78368377685547
4 4 80.94126892089844
4 5 92.23664093017578
4 8 87.94223022460938
4 10 80.1381607055664
4 20 105.41981506347656
4 40 170.6768341064453
4 50 160.34970092773438
4 80 197.94479370117188
5 0.0001 101.83204650878906
5 0.0002 84.51878356933594
5 0.0004 80.26417541503906
5 0.0005 97.246337890625
5 0.0008 109.490478515625
5 0.001 108.2402114868164
5 0.002 86.8231201171875
5 0.004 81.93049621582031
5 0.005 87.88249969482422
5 0.008 85.45398712158203
5 0.01 82.16523742675781
5 0.02 79.80076599121094
5 0.04 276.18536376953125
5 0.05 79.16453552246094
5 0.08 84.37637329101562
5 0.1 84.77808380126953
5 0.2 104.59817504882812
5 0.4 87.60536193847656
5 0.5 80.0179214477539
5 0.8 89.04656219482422
5 1 98.52921295166016
5 2 87.00247955322266
5 4 95.69583129882812
5 5 83.54347229003906
5 8 99.49435424804688
5 10 87.91082763671875
5 20 95.3680419921875
5 40 133.56448364257812
5 50 121.01448822021484
5 80 391.1448059082031
8 0.0001 112.00040435791016
8 0.0002 147.63247680664062
8 0.0004 108.35785675048828
8 0.0005 222.24317932128906
8 0.0008 240.95030212402344
8 0.001 277.53961181640625
8 0.002 211.14260864257812
8 0.004 111.32200622558594
8 0.005 155.26577758789062
8 0.008 87.8610610961914
8 0.01 143.9573211669922
8 0.02 111.2948989868164
8 0.04 107.56674194335938
8 0.05 101.44051361083984
8 0.08 111.72697448730469
8 0.1 125.43618774414062
8 0.2 366.1455993652344
8 0.4 123.93367767333984
8 0.5 122.49803161621094
8 0.8 118.93633270263672
8 1 93.52488708496094
8 2 190.1884765625
8 4 153.71156311035156
8 5 102.25597381591797
8 8 87.7735824584961
8 10 97.01628112792969
8 20 120.52641296386719
8 40 209.69686889648438
8 50 183.1321258544922
8 80 280.61114501953125
10 0.0001 99.63558197021484
10 0.0002 394.7434997558594
10 0.0004 112.37836456298828
10 0.0005 247.62802124023438
10 0.0008 223.56793212890625
10 0.001 92.0225830078125
10 0.002 137.87142944335938
10 0.004 101.57913970947266
10 0.005 108.76663970947266
10 0.008 203.1609344482422
10 0.01 144.94277954101562
10 0.02 128.3213348388672
10 0.04 152.71926879882812
10 0.05 106.08100891113281
10 0.08 206.01824951171875
10 0.1 99.48861694335938
10 0.2 121.79192352294922
10 0.4 88.63207244873047
10 0.5 199.54747009277344
10 0.8 148.893310546875
10 1 161.7524871826172
10 2 148.36599731445312
10 4 117.4457778930664
10 5 529.4760131835938
10 8 264.56683349609375
10 10 96.61065673828125
10 20 145.3820343017578
10 40 257.9486083984375
10 50 329.498779296875
10 80 471.2651672363281
20 0.0001 695.304931640625
20 0.0002 342.1950988769531
20 0.0004 219.92469787597656
20 0.0005 210.85548400878906
20 0.0008 1443.43505859375
20 0.001 664.7692260742188
20 0.002 537.0532836914062
20 0.004 337.3564758300781
20 0.005 117.80218505859375
20 0.008 278.3733215332031
20 0.01 556.0379638671875
20 0.02 441.7063903808594
20 0.04 155.45181274414062
20 0.05 303.4083251953125
20 0.08 205.7646026611328
20 0.1 256.4085388183594
20 0.2 500.0563659667969
20 0.4 245.98641967773438
20 0.5 118.95306396484375
20 0.8 138.31295776367188
20 1 459.9712219238281
20 2 396.7836608886719
20 4 189.48141479492188
20 5 245.7329864501953
20 8 191.23141479492188
20 10 1081.30615234375
20 20 214.7726
